symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-11-01 14:42:00+00:00,199.48,199.59,199.18,199.36,262609.0,3800.0,199.367609
TSLA,2023-11-01 14:43:00+00:00,199.36,199.5899,199.3537,199.5616,238319.0,2829.0,199.467252
TSLA,2023-11-01 14:44:00+00:00,199.58,199.8999,199.5101,199.79,319245.0,3176.0,199.734349
TSLA,2023-11-01 14:45:00+00:00,199.7601,200.148,199.74,200.0201,337668.0,3484.0,199.950138
TSLA,2023-11-01 14:46:00+00:00,200.045,200.14,199.9801,200.025,258687.0,2897.0,200.038911
TSLA,2023-11-01 14:47:00+00:00,200.01,200.01,199.44,199.5398,362850.0,4365.0,199.642883
TSLA,2023-11-01 14:48:00+00:00,199.525,199.66,199.13,199.15,342753.0,3923.0,199.373447
TSLA,2023-11-01 14:49:00+00:00,199.14,199.3,199.0,199.155,391615.0,4472.0,199.154652
TSLA,2023-11-01 14:50:00+00:00,199.18,199.23,198.68,198.9375,414927.0,4636.0,198.953558
TSLA,2023-11-01 14:51:00+00:00,198.9201,199.22,198.84,199.0487,382897.0,3771.0,199.003921
TSLA,2023-11-01 14:52:00+00:00,199.05,199.1899,198.77,198.89,399636.0,3968.0,198.956209
TSLA,2023-11-01 14:53:00+00:00,198.91,198.91,198.3,198.5296,538905.0,6006.0,198.592991
TSLA,2023-11-01 14:54:00+00:00,198.53,198.67,197.85,198.0311,720388.0,8359.0,198.149542
TSLA,2023-11-01 14:55:00+00:00,198.03,198.47,197.97,198.34,490327.0,5222.0,198.236995
TSLA,2023-11-01 14:56:00+00:00,198.335,198.66,198.32,198.5044,285171.0,3201.0,198.528376
TSLA,2023-11-01 14:57:00+00:00,198.48,198.7283,198.36,198.6799,286100.0,2915.0,198.534043
TSLA,2023-11-01 14:58:00+00:00,198.67,198.71,198.47,198.645,213339.0,2521.0,198.623178
TSLA,2023-11-01 14:59:00+00:00,198.6599,198.86,198.5,198.846,329179.0,3365.0,198.683092
TSLA,2023-11-01 15:00:00+00:00,198.83,198.87,198.6,198.71,208813.0,2183.0,198.750276
TSLA,2023-11-01 15:01:00+00:00,198.7,199.13,198.6901,199.13,290437.0,2809.0,198.871681
TSLA,2023-11-01 15:02:00+00:00,199.12,199.5,199.08,199.47,393741.0,3761.0,199.327812
TSLA,2023-11-01 15:03:00+00:00,199.4401,199.52,199.1927,199.37,229546.0,2663.0,199.366748
TSLA,2023-11-01 15:04:00+00:00,199.3695,199.84,199.35,199.685,370954.0,3483.0,199.601705
TSLA,2023-11-01 15:05:00+00:00,199.6923,199.9,199.46,199.73,256002.0,3105.0,199.677511
TSLA,2023-11-01 15:06:00+00:00,199.73,199.7399,199.18,199.22,295780.0,3026.0,199.437028
TSLA,2023-11-01 15:07:00+00:00,199.2499,199.46,199.11,199.27,269086.0,2918.0,199.264679
TSLA,2023-11-01 15:08:00+00:00,199.27,199.48,199.2436,199.455,216968.0,2412.0,199.394518
TSLA,2023-11-01 15:09:00+00:00,199.43,199.43,199.19,199.3,135986.0,1708.0,199.305489
TSLA,2023-11-01 15:10:00+00:00,199.295,199.41,198.93,198.99,298148.0,3225.0,199.126434
TSLA,2023-11-01 15:11:00+00:00,198.99,199.05,198.46,198.5,336998.0,3830.0,198.763895
TSLA,2023-11-01 15:12:00+00:00,198.5,198.78,198.35,198.4001,340153.0,3726.0,198.547766
TSLA,2023-11-01 15:13:00+00:00,198.44,198.72,198.38,198.48,224783.0,2439.0,198.570746
TSLA,2023-11-01 15:14:00+00:00,198.46,198.78,198.43,198.7215,258377.0,2554.0,198.617043
TSLA,2023-11-01 15:15:00+00:00,198.72,199.12,198.6,198.672,324024.0,3067.0,198.831353
TSLA,2023-11-01 15:16:00+00:00,198.66,198.8,198.44,198.7369,302135.0,3181.0,198.702934
TSLA,2023-11-01 15:17:00+00:00,198.71,198.9999,198.6,198.8901,251985.0,2660.0,198.803858
TSLA,2023-11-01 15:18:00+00:00,198.92,198.94,198.75,198.76,155399.0,1936.0,198.849071
TSLA,2023-11-01 15:19:00+00:00,198.77,198.91,198.62,198.68,202986.0,2127.0,198.763175
TSLA,2023-11-01 15:20:00+00:00,198.6701,198.75,198.16,198.2376,337186.0,4327.0,198.472133
TSLA,2023-11-01 15:21:00+00:00,198.23,198.4179,198.11,198.1801,272647.0,2931.0,198.263884
TSLA,2023-11-01 15:22:00+00:00,198.1771,198.29,198.0601,198.22,206166.0,2254.0,198.19313
TSLA,2023-11-01 15:23:00+00:00,198.224,198.62,198.165,198.6,266421.0,2484.0,198.448402
TSLA,2023-11-01 15:24:00+00:00,198.615,198.9076,198.51,198.8879,217850.0,2223.0,198.677537
TSLA,2023-11-01 15:25:00+00:00,198.91,198.91,198.62,198.7358,182932.0,1833.0,198.775118
TSLA,2023-11-01 15:26:00+00:00,198.77,198.91,198.72,198.737,136777.0,1780.0,198.824083
TSLA,2023-11-01 15:27:00+00:00,198.73,198.8494,198.6,198.7035,172596.0,1945.0,198.70577
TSLA,2023-11-01 15:28:00+00:00,198.72,198.888,198.63,198.7851,148482.0,1884.0,198.769055
TSLA,2023-11-01 15:29:00+00:00,198.78,198.91,198.75,198.8701,180740.0,2110.0,198.847724
TSLA,2023-11-01 15:30:00+00:00,198.87,199.19,198.7401,199.16,255469.0,2673.0,198.988599
TSLA,2023-11-01 15:31:00+00:00,199.1755,199.73,199.1601,199.5,371489.0,3769.0,199.487408
TSLA,2023-11-01 15:32:00+00:00,199.5297,199.5297,199.07,199.27,213099.0,2221.0,199.279473
TSLA,2023-11-01 15:33:00+00:00,199.24,199.33,198.92,199.0686,192484.0,2175.0,199.127265
TSLA,2023-11-01 15:34:00+00:00,199.08,199.18,198.94,199.125,138798.0,1684.0,199.079559
TSLA,2023-11-01 15:35:00+00:00,199.1207,199.55,199.12,199.5,189506.0,1858.0,199.363114
TSLA,2023-11-01 15:36:00+00:00,199.5116,199.6,199.42,199.565,160605.0,1753.0,199.526043
TSLA,2023-11-01 15:37:00+00:00,199.565,199.62,199.37,199.47,138401.0,1630.0,199.469965
TSLA,2023-11-01 15:38:00+00:00,199.47,199.7899,199.47,199.74,209286.0,2265.0,199.663109
TSLA,2023-11-01 15:39:00+00:00,199.74,199.83,199.63,199.6599,164148.0,1792.0,199.724338
TSLA,2023-11-01 15:40:00+00:00,199.6402,200.08,199.53,200.0201,348159.0,3504.0,199.845908
TSLA,2023-11-01 15:41:00+00:00,200.025,200.38,199.84,200.3407,302569.0,3268.0,200.083892
TSLA,2023-11-01 15:42:00+00:00,200.36,200.3947,200.1,200.23,292738.0,2775.0,200.236584
TSLA,2023-11-01 15:43:00+00:00,200.2333,200.4,200.17,200.265,181970.0,2111.0,200.298501
TSLA,2023-11-01 15:44:00+00:00,200.2767,200.4628,200.25,200.43,175203.0,1769.0,200.362261
TSLA,2023-11-01 15:45:00+00:00,200.435,200.7499,200.4,200.672,381004.0,3677.0,200.601864
TSLA,2023-11-01 15:46:00+00:00,200.6645,201.07,200.64,201.015,380768.0,3491.0,200.882095
TSLA,2023-11-01 15:47:00+00:00,201.01,201.0599,200.7,200.9399,265960.0,2832.0,200.860259
TSLA,2023-11-01 15:48:00+00:00,200.92,201.0599,200.67,200.7299,278915.0,2436.0,200.875761
TSLA,2023-11-01 15:49:00+00:00,200.7149,200.74,200.5201,200.68,284718.0,3002.0,200.621386
TSLA,2023-11-01 15:50:00+00:00,200.7014,200.705,200.29,200.3262,273875.0,2826.0,200.547652
TSLA,2023-11-01 15:51:00+00:00,200.29,200.6,200.27,200.5696,203252.0,2138.0,200.408461
TSLA,2023-11-01 15:52:00+00:00,200.5151,200.73,200.47,200.685,195046.0,1996.0,200.620614
TSLA,2023-11-01 15:53:00+00:00,200.705,200.98,200.65,200.94,235326.0,2182.0,200.846326
TSLA,2023-11-01 15:54:00+00:00,200.9101,200.99,200.78,200.86,144859.0,1408.0,200.87931
TSLA,2023-11-01 15:55:00+00:00,200.835,200.95,200.8,200.86,146026.0,1326.0,200.866121
TSLA,2023-11-01 15:56:00+00:00,200.85,201.01,200.83,200.99,176436.0,1825.0,200.963082
TSLA,2023-11-01 15:57:00+00:00,201.0,201.05,200.8702,200.9476,168276.0,1992.0,200.980868
TSLA,2023-11-01 15:58:00+00:00,200.91,200.9199,200.65,200.82,203224.0,1970.0,200.791666
TSLA,2023-11-01 15:59:00+00:00,200.8001,201.03,200.7773,200.7773,248887.0,2079.0,200.946673
TSLA,2023-11-01 16:00:00+00:00,200.78,200.81,200.5,200.6626,204708.0,2140.0,200.663642
TSLA,2023-11-01 16:01:00+00:00,200.675,200.6786,200.11,200.18,338256.0,3151.0,200.315682
TSLA,2023-11-01 16:02:00+00:00,200.1562,200.36,200.0801,200.3407,174403.0,2005.0,200.208547
TSLA,2023-11-01 16:03:00+00:00,200.37,200.46,200.25,200.3701,183950.0,1686.0,200.374094
TSLA,2023-11-01 16:04:00+00:00,200.39,200.45,199.96,199.9999,218585.0,3033.0,200.170804
TSLA,2023-11-01 16:05:00+00:00,199.99,200.01,199.69,199.98,293918.0,2874.0,199.876289
TSLA,2023-11-01 16:06:00+00:00,199.9788,200.01,199.76,199.9899,195720.0,1982.0,199.931693
TSLA,2023-11-01 16:07:00+00:00,199.9986,200.17,199.88,200.1099,155605.0,1685.0,200.013745
TSLA,2023-11-01 16:08:00+00:00,200.11,200.2899,199.96,200.1,167537.0,1863.0,200.131185
TSLA,2023-11-01 16:09:00+00:00,200.12,200.49,200.12,200.46,132527.0,1297.0,200.337025
TSLA,2023-11-01 16:10:00+00:00,200.42,200.85,200.42,200.82,277682.0,2413.0,200.653962
TSLA,2023-11-01 16:11:00+00:00,200.79,200.84,200.4902,200.6275,144343.0,1754.0,200.689554
TSLA,2023-11-01 16:12:00+00:00,200.6391,200.9,200.59,200.8491,154571.0,1755.0,200.777307
TSLA,2023-11-01 16:13:00+00:00,200.845,200.92,200.6301,200.67,157683.0,1431.0,200.814531
TSLA,2023-11-01 16:14:00+00:00,200.65,200.76,200.47,200.5321,162203.0,1637.0,200.603448
TSLA,2023-11-01 16:15:00+00:00,200.52,200.585,200.36,200.5,153035.0,1505.0,200.479198
TSLA,2023-11-01 16:16:00+00:00,200.5173,200.63,200.47,200.59,94732.0,1126.0,200.556392
TSLA,2023-11-01 16:17:00+00:00,200.57,200.85,200.52,200.67,189646.0,2087.0,200.676697
TSLA,2023-11-01 16:18:00+00:00,200.65,200.88,200.62,200.815,138197.0,1391.0,200.811149
TSLA,2023-11-01 16:19:00+00:00,200.82,201.56,200.61,201.54,350792.0,3710.0,201.092846
TSLA,2023-11-01 16:20:00+00:00,201.5499,201.55,201.16,201.3987,298587.0,2644.0,201.346712
TSLA,2023-11-01 16:21:00+00:00,201.4086,201.68,201.38,201.635,280472.0,2620.0,201.509843
TSLA,2023-11-01 16:22:00+00:00,201.65,201.66,201.4095,201.43,180287.0,1740.0,201.522743
TSLA,2023-11-01 16:23:00+00:00,201.45,201.4599,201.11,201.21,204128.0,2026.0,201.286563
TSLA,2023-11-01 16:24:00+00:00,201.24,201.415,201.1886,201.37,179762.0,1820.0,201.304499
TSLA,2023-11-01 16:25:00+00:00,201.35,201.3788,201.1351,201.26,138585.0,1278.0,201.260619
TSLA,2023-11-01 16:26:00+00:00,201.24,201.44,201.15,201.3627,145135.0,1716.0,201.308207
TSLA,2023-11-01 16:27:00+00:00,201.37,201.52,201.356,201.4699,141529.0,1383.0,201.440427
TSLA,2023-11-01 16:28:00+00:00,201.4697,201.51,201.3512,201.4935,162644.0,1789.0,201.455255
