symbol,volume,last_price,time,p_change,ch_percentage,extended_hours_price,ehp_percentage
GOOGL,6929384,128.62,1692201384,-1.16,-0.89,,
GOOGL,6929490,128.61,1692201386,-1.17,-0.9,,
GOOGL,6929501,,1692201388,,,,
GOOGL,6929535,,1692201392,,,,
GOOGL,6929988,128.62,1692201393,-1.16,-0.89,,
GOOGL,6929998,128.61,1692201398,-1.17,-0.9,,
GOOGL,6930159,,1692201408,,,,
GOOGL,6930342,128.595,1692201409,-1.19,-0.91,,
GOOGL,6930343,128.6,1692201411,-1.18,,,
GOOGL,6930388,128.59,1692201414,-1.19,-0.92,,
GOOGL,6930649,,1692201416,,,,
GOOGL,6930749,128.595,1692201421,,-0.91,,
GOOGL,6932782,128.545,1692201423,-1.24,-0.95,,
GOOGL,6932905,128.54,1692201425,,-0.96,,
GOOGL,6933011,128.56,1692201427,-1.22,-0.94,,
GOOGL,6933111,,1692201428,,,,
GOOGL,6933220,128.575,1692201430,-1.21,-0.93,,
GOOGL,6933224,,1692201432,,,,
GOOGL,6933301,,1692201434,,,,
GOOGL,6933333,128.56,1692201437,-1.22,-0.94,,
GOOGL,6934792,128.55,1692201439,-1.23,-0.95,,
GOOGL,6934822,128.56,1692201441,-1.22,-0.94,,
GOOGL,6934852,128.57,1692201444,-1.21,-0.93,,
GOOGL,6935052,,1692201447,,,,
GOOGL,6935055,,1692201448,,,,
GOOGL,6935155,,1692201450,,,,
GOOGL,6935527,128.58,1692201452,-1.2,-0.92,,
GOOGL,6935528,128.59,1692201457,-1.19,,,
GOOGL,6935531,,1692201461,,,,
GOOGL,6935631,128.595,1692201466,,-0.91,,
GOOGL,6935754,128.61,1692201468,-1.17,-0.9,,
GOOGL,6935764,128.63,1692201478,-1.15,-0.89,,
GOOGL,6936380,128.59,1692201481,-1.19,-0.92,,
GOOGL,6936381,128.58,1692201483,-1.2,,,
GOOGL,6936551,,1692201485,,,,
GOOGL,6936671,,1692201486,,,,
GOOGL,6937067,128.59,1692201489,-1.19,,,
GOOGL,6937184,128.58,1692201491,-1.2,,,
GOOGL,6937284,128.57,1692201492,-1.21,-0.93,,
GOOGL,6937285,,1692201494,,,,
