Roi,Fast Period,Slow Period,high & low Period,high & low Error,Gain Value
0.01809370000000001,2,20,15,0.1,4.0
0.0,2,21,15,0.1,4.0
0.0,2,22,15,0.1,4.0
0.02227292480000002,2,23,15,0.1,4.0
0.0,2,24,15,0.1,4.0
0.022352359999999835,2,25,15,0.1,4.0
0.0,2,26,15,0.1,4.0
0.0,2,27,15,0.1,4.0
0.018781120000000037,2,28,15,0.1,4.0
0.019086639999999974,2,29,15,0.1,4.0
0.0,2,30,15,0.1,4.0
0.0,2,31,15,0.1,4.0
0.0,2,32,15,0.1,4.0
0.0,2,33,15,0.1,4.0
0.0,2,34,15,0.1,4.0
0.0,2,35,15,0.1,4.0
0.0,2,36,15,0.1,4.0
0.0,2,37,15,0.1,4.0
0.0,2,38,15,0.1,4.0
0.0,2,39,15,0.1,4.0
0.0,2,40,15,0.1,4.0
0.0,3,20,15,0.1,4.0
0.0,3,21,15,0.1,4.0
0.0,3,22,15,0.1,4.0
0.0,3,23,15,0.1,4.0
0.0,3,24,15,0.1,4.0
0.0,3,25,15,0.1,4.0
0.0,3,26,15,0.1,4.0
0.020379020000000123,3,27,15,0.1,4.0
0.0,3,28,15,0.1,4.0
0.019086639999999974,3,29,15,0.1,4.0
0.018933879999999896,3,30,15,0.1,4.0
0.0,3,31,15,0.1,4.0
0.0,3,32,15,0.1,4.0
0.0,3,33,15,0.1,4.0
0.0,3,34,15,0.1,4.0
0.0,3,35,15,0.1,4.0
0.0,3,36,15,0.1,4.0
0.0,3,37,15,0.1,4.0
0.0,3,38,15,0.1,4.0
0.0,3,39,15,0.1,4.0
0.0,3,40,15,0.1,4.0
0.017903699999999967,4,20,15,0.1,4.0
0.0,4,21,15,0.1,4.0
0.0,4,22,15,0.1,4.0
0.0,4,23,15,0.1,4.0
0.0,4,24,15,0.1,4.0
0.019844359999999953,4,25,15,0.1,4.0
0.019844359999999953,4,26,15,0.1,4.0
0.020302260000000166,4,27,15,0.1,4.0
0.0,4,28,15,0.1,4.0
0.0,4,29,15,0.1,4.0
0.0,4,30,15,0.1,4.0
0.0,4,31,15,0.1,4.0
0.0,4,32,15,0.1,4.0
0.0,4,33,15,0.1,4.0
0.0,4,34,15,0.1,4.0
0.0,4,35,15,0.1,4.0
0.0,4,36,15,0.1,4.0
0.0,4,37,15,0.1,4.0
0.0,4,38,15,0.1,4.0
0.0,4,39,15,0.1,4.0
0.0,4,40,15,0.1,4.0
0.01938570000000013,5,20,15,0.1,4.0
0.019691600000000097,5,21,15,0.1,4.0
0.019615219999999947,5,22,15,0.1,4.0
0.019764924800000142,5,23,15,0.1,4.0
0.019691220000000068,5,24,15,0.1,4.0
0.0197676,5,25,15,0.1,4.0
0.0197676,5,26,15,0.1,4.0
0.020074260000000156,5,27,15,0.1,4.0
0.019845120000000147,5,28,15,0.1,4.0
0.0,5,29,15,0.1,4.0
0.0,5,30,15,0.1,4.0
0.0,5,31,15,0.1,4.0
0.0,5,32,15,0.1,4.0
0.0,5,33,15,0.1,4.0
0.0,5,34,15,0.1,4.0
0.0,5,35,15,0.1,4.0
0.0,5,36,15,0.1,4.0
0.0,5,37,15,0.1,4.0
0.0,5,38,15,0.1,4.0
0.0,5,39,15,0.1,4.0
0.0,5,40,15,0.1,4.0
0.01938570000000013,6,20,15,0.1,4.0
0.01938684000000013,6,21,15,0.1,4.0
0.019538459999999994,6,22,15,0.1,4.0
0.019688164800000185,6,23,15,0.1,4.0
0.019691220000000068,6,24,15,0.1,4.0
0.01953959999999999,6,25,15,0.1,4.0
0.01953959999999999,6,26,15,0.1,4.0
