symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 10:43:00+00:00,238.85,238.89,238.8,238.89,1871.0,57.0,238.826526
TSLA,2023-08-14 10:45:00+00:00,238.94,239.03,238.94,238.96,5538.0,158.0,238.969729
TSLA,2023-08-14 10:46:00+00:00,239.0,239.03,238.95,238.95,4182.0,101.0,238.993109
TSLA,2023-08-14 10:47:00+00:00,238.94,238.94,238.94,238.94,590.0,17.0,238.934356
TSLA,2023-08-14 10:48:00+00:00,238.95,238.95,238.95,238.95,959.0,32.0,238.952377
TSLA,2023-08-14 10:50:00+00:00,239.0,239.0,238.99,238.99,1484.0,48.0,239.004158
TSLA,2023-08-14 10:52:00+00:00,239.07,239.17,239.05,239.09,2695.0,72.0,239.109859
TSLA,2023-08-14 10:53:00+00:00,239.12,239.12,239.12,239.12,1311.0,34.0,239.112982
TSLA,2023-08-14 10:54:00+00:00,239.12,239.17,239.1,239.12,4066.0,80.0,239.141884
TSLA,2023-08-14 10:55:00+00:00,239.13,239.25,239.11,239.11,11659.0,126.0,239.187731
TSLA,2023-08-14 10:56:00+00:00,239.1,239.1,239.05,239.06,2345.0,84.0,239.059488
TSLA,2023-08-14 10:57:00+00:00,239.06,239.08,239.06,239.08,1347.0,72.0,239.045494
TSLA,2023-08-14 10:58:00+00:00,238.84,238.88,238.84,238.88,1442.0,69.0,238.892004
TSLA,2023-08-14 10:59:00+00:00,238.95,239.01,238.9,239.01,2046.0,53.0,238.972341
TSLA,2023-08-14 11:00:00+00:00,239.03,239.27,238.7,238.75,40762.0,860.0,239.082914
TSLA,2023-08-14 11:01:00+00:00,238.81,239.01,238.81,238.96,14484.0,239.0,238.951381
TSLA,2023-08-14 11:02:00+00:00,238.92,238.93,238.7,238.75,19788.0,227.0,238.815721
TSLA,2023-08-14 11:03:00+00:00,238.74,239.01,238.74,239.0,10160.0,231.0,238.88054
TSLA,2023-08-14 11:04:00+00:00,238.98,239.0,238.81,238.81,6616.0,99.0,238.906811
TSLA,2023-08-14 11:05:00+00:00,238.8,238.8,238.51,238.6,14278.0,273.0,238.632998
TSLA,2023-08-14 11:06:00+00:00,238.51,238.52,238.3,238.31,23446.0,480.0,238.404203
TSLA,2023-08-14 11:07:00+00:00,238.3,238.46,238.22,238.35,12179.0,258.0,238.334252
