symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOGL,2023-08-04 08:00:00+00:00,129.4,129.4,129.4,129.4,432.0,21.0,129.371782
GOOGL,2023-08-04T08:01:00+00:00,130.38,130.61,130.22,130.42,445.09,22.0,129.9
GOOGL,2023-08-04T08:02:00+00:00,130.53,130.76,130.03,130.39,438.56,21.0,130.14
GOOGL,2023-08-04T08:03:00+00:00,131.35,131.62,131.18,131.4,437.79,22.0,130.77
GOOGL,2023-08-04T08:04:00+00:00,129.88,129.89,129.47,129.68,442.38,23.0,130.22
GOOGL,2023-08-04T08:05:00+00:00,130.86,130.94,130.65,130.8,422.42,22.0,130.5
GOOGL,2023-08-04T08:06:00+00:00,130.55,130.67,130.11,130.39,441.48,21.0,130.44
GOOGL,2023-08-04T08:07:00+00:00,130.77,131.01,130.5,130.75,455.7,20.0,130.6
GOOGL,2023-08-04T08:08:00+00:00,129.12,129.33,128.89,129.11,455.21,19.0,129.86
GOOGL,2023-08-04T08:09:00+00:00,130.08,130.17,129.87,130.02,464.81,18.0,129.94
GOOGL,2023-08-04T08:10:00+00:00,129.41,129.43,129.27,129.35,476.33,17.0,129.64
GOOGL,2023-08-04T08:11:00+00:00,130.33,130.8,130.31,130.56,456.92,18.0,130.09
GOOGL,2023-08-04T08:12:00+00:00,129.87,130.11,129.56,129.84,456.92,19.0,129.97
GOOGL,2023-08-04T08:13:00+00:00,130.65,131.09,130.47,130.78,452.06,20.0,130.37
GOOGL,2023-08-04T08:14:00+00:00,129.12,129.46,128.93,129.19,450.83,21.0,129.78
GOOGL,2023-08-04T08:15:00+00:00,130.18,130.41,130.07,130.24,431.25,22.0,130.0
GOOGL,2023-08-04T08:16:00+00:00,129.21,129.27,129.09,129.18,451.28,23.0,129.58
GOOGL,2023-08-04T08:17:00+00:00,129.42,129.55,128.98,129.26,465.76,24.0,129.42
GOOGL,2023-08-04T08:18:00+00:00,128.31,128.35,128.19,128.27,463.69,23.0,128.85
GOOGL,2023-08-04T08:19:00+00:00,129.14,129.15,128.9,129.03,467.96,24.0,128.94
GOOGL,2023-08-04T08:20:00+00:00,127.17,127.32,127.0,127.16,468.71,23.0,128.05
GOOGL,2023-08-04T08:21:00+00:00,127.91,128.07,127.67,127.87,485.87,24.0,127.96
GOOGL,2023-08-04T08:22:00+00:00,127.83,127.85,127.72,127.78,497.35,25.0,127.87
GOOGL,2023-08-04T08:23:00+00:00,128.2,128.59,127.86,128.22,504.54,24.0,128.05
GOOGL,2023-08-04T08:24:00+00:00,128.12,128.28,127.78,128.03,511.9,25.0,128.04
GOOGL,2023-08-04T08:25:00+00:00,128.37,128.81,128.29,128.55,489.6,24.0,128.29
GOOGL,2023-08-04T08:26:00+00:00,128.13,128.31,127.78,128.05,467.38,23.0,128.17
GOOGL,2023-08-04T08:27:00+00:00,128.63,128.64,128.25,128.44,462.17,24.0,128.3
GOOGL,2023-08-04T08:28:00+00:00,127.72,127.87,127.45,127.66,475.3,23.0,127.98
GOOGL,2023-08-04T08:29:00+00:00,128.35,128.74,128.18,128.46,462.6,24.0,128.22
GOOGL,2023-08-04T08:30:00+00:00,127.2,127.34,127.01,127.18,483.31,23.0,127.69
GOOGL,2023-08-04T08:31:00+00:00,127.61,128.05,127.36,127.71,460.39,22.0,127.7
GOOGL,2023-08-04T08:32:00+00:00,126.85,127.19,126.75,126.97,465.19,23.0,127.33
GOOGL,2023-08-04T08:33:00+00:00,127.27,127.44,126.77,127.1,472.23,24.0,127.21
GOOGL,2023-08-04T08:34:00+00:00,125.91,126.02,125.61,125.81,470.9,23.0,126.51
GOOGL,2023-08-04T08:35:00+00:00,126.99,127.11,126.75,126.93,487.65,24.0,126.72
GOOGL,2023-08-04T08:36:00+00:00,126.54,127.02,126.44,126.73,496.36,25.0,126.73
GOOGL,2023-08-04T08:37:00+00:00,127.58,127.59,127.2,127.4,473.51,24.0,127.06
GOOGL,2023-08-04T08:38:00+00:00,126.74,127.23,126.54,126.89,483.23,23.0,126.97
GOOGL,2023-08-04T08:39:00+00:00,127.77,127.86,127.67,127.77,473.1,22.0,127.37
GOOGL,2023-08-04T08:40:00+00:00,126.49,126.91,126.28,126.59,492.93,21.0,126.97
GOOGL,2023-08-04T08:41:00+00:00,127.05,127.38,126.75,127.06,492.62,22.0,127.01
GOOGL,2023-08-04T08:42:00+00:00,126.32,126.42,125.95,126.19,500.4,21.0,126.6
GOOGL,2023-08-04T08:43:00+00:00,127.23,127.51,126.96,127.23,496.83,22.0,126.91
GOOGL,2023-08-04T08:44:00+00:00,126.27,126.67,126.08,126.38,477.52,21.0,126.65
GOOGL,2023-08-04T08:45:00+00:00,126.8,126.87,126.46,126.66,497.45,20.0,126.66
GOOGL,2023-08-04T08:46:00+00:00,126.05,126.26,126.0,126.13,517.48,21.0,126.39
GOOGL,2023-08-04T08:47:00+00:00,126.88,127.03,126.76,126.9,517.21,20.0,126.64
GOOGL,2023-08-04T08:48:00+00:00,125.88,126.2,125.56,125.88,498.89,19.0,126.27
GOOGL,2023-08-04T08:49:00+00:00,126.82,127.2,126.8,127.0,495.01,18.0,126.63
GOOGL,2023-08-04T08:50:00+00:00,126.58,126.66,126.3,126.48,497.37,19.0,126.55
GOOGL,2023-08-04T08:51:00+00:00,126.7,126.71,126.69,126.7,522.14,20.0,126.63
GOOGL,2023-08-04T08:52:00+00:00,126.38,126.66,126.01,126.34,517.37,19.0,126.49
GOOGL,2023-08-04T08:53:00+00:00,127.45,127.81,127.08,127.44,529.22,20.0,126.97
GOOGL,2023-08-04T08:54:00+00:00,126.93,127.33,126.69,127.01,512.07,19.0,126.99
GOOGL,2023-08-04T08:55:00+00:00,128.22,128.28,128.13,128.2,522.1,20.0,127.6
GOOGL,2023-08-04T08:56:00+00:00,127.07,127.21,126.92,127.06,500.83,19.0,127.34
GOOGL,2023-08-04T08:57:00+00:00,127.36,127.67,127.21,127.44,482.46,18.0,127.39
GOOGL,2023-08-04T08:58:00+00:00,126.26,126.72,126.12,126.42,488.1,17.0,126.9
GOOGL,2023-08-04T08:59:00+00:00,127.3,127.7,126.99,127.34,476.5,18.0,127.12
GOOGL,2023-08-04T09:00:00+00:00,126.46,126.64,126.03,126.34,465.46,19.0,126.73
GOOGL,2023-08-04T09:01:00+00:00,127.01,127.18,126.76,126.97,462.3,18.0,126.85
GOOGL,2023-08-04T09:02:00+00:00,125.62,125.73,125.41,125.57,453.85,17.0,126.22
GOOGL,2023-08-04T09:03:00+00:00,126.03,126.03,125.96,126.0,464.94,16.0,126.11
GOOGL,2023-08-04T09:04:00+00:00,124.89,125.27,124.88,125.07,442.67,17.0,125.6
GOOGL,2023-08-04T09:05:00+00:00,125.31,125.33,124.89,125.11,422.1,16.0,125.36
GOOGL,2023-08-04T09:06:00+00:00,124.09,124.18,123.69,123.94,425.04,15.0,124.65
