ROI,Dev Factor,Rsi period,Rsi low,Rsi high,Bollinger Period,Gain value
0.0,1.5,33,40,60,7,3
0.0,1.5,33,41,60,7,3
0.0,1.5,33,42,60,7,3
0.0,1.5,33,43,60,7,3
0.0,1.5,33,44,60,7,3
0.0,1.5,33,45,60,7,3
0.0,1.5,34,40,60,7,3
0.0,1.5,34,41,60,7,3
0.0,1.5,34,42,60,7,3
0.0,1.5,34,43,60,7,3
0.0,1.5,34,44,60,7,3
0.0,1.5,34,45,60,7,3
0.0,1.5,35,40,60,7,3
0.0,1.5,35,41,60,7,3
0.0,1.5,35,42,60,7,3
0.0,1.5,35,43,60,7,3
0.0,1.5,35,44,60,7,3
0.0,1.5,35,45,60,7,3
0.0,1.5,36,40,60,7,3
0.0,1.5,36,41,60,7,3
0.0,1.5,36,42,60,7,3
0.0,1.5,36,43,60,7,3
0.0,1.5,36,44,60,7,3
0.0,1.5,36,45,60,7,3
0.0,1.5,37,40,60,7,3
0.0,1.5,37,41,60,7,3
0.0,1.5,37,42,60,7,3
0.0,1.5,37,43,60,7,3
0.0,1.5,37,44,60,7,3
0.0,1.5,37,45,60,7,3
0.0,1.5,38,40,60,7,3
0.0,1.5,38,41,60,7,3
0.0,1.5,38,42,60,7,3
0.0,1.5,38,43,60,7,3
0.0,1.5,38,44,60,7,3
0.0,1.5,38,45,60,7,3
0.0,1.5,39,40,60,7,3
0.0,1.5,39,41,60,7,3
0.0,1.5,39,42,60,7,3
0.0,1.5,39,43,60,7,3
0.0,1.5,39,44,60,7,3
0.0,1.5,39,45,60,7,3
0.0,1.5,40,40,60,7,3
0.0,1.5,40,41,60,7,3
0.0,1.5,40,42,60,7,3
0.0,1.5,40,43,60,7,3
0.0,1.5,40,44,60,7,3
0.0,1.5,40,45,60,7,3
0.0,1.5,41,40,60,7,3
0.0,1.5,41,41,60,7,3
0.0,1.5,41,42,60,7,3
0.0,1.5,41,43,60,7,3
0.0,1.5,41,44,60,7,3
0.0,1.5,41,45,60,7,3
0.0,1.5,42,40,60,7,3
0.0,1.5,42,41,60,7,3
0.0,1.5,42,42,60,7,3
0.0,1.5,42,43,60,7,3
0.0,1.5,42,44,60,7,3
0.0,1.5,42,45,60,7,3
0.0,1.5,43,40,60,7,3
0.0,1.5,43,41,60,7,3
0.0,1.5,43,42,60,7,3
0.0,1.5,43,43,60,7,3
0.0,1.5,43,44,60,7,3
0.0,1.5,43,45,60,7,3
0.0,1.5,44,40,60,7,3
0.0,1.5,44,41,60,7,3
0.0,1.5,44,42,60,7,3
0.0,1.5,44,43,60,7,3
0.0,1.5,44,44,60,7,3
0.0,1.5,44,45,60,7,3
0.0,1.5,45,40,60,7,3
0.0,1.5,45,41,60,7,3
0.0,1.5,45,42,60,7,3
0.0,1.5,45,43,60,7,3
0.0,1.5,45,44,60,7,3
0.0,1.5,45,45,60,7,3
