symbol,volume,last_price,time,p_change,ch_percentage,extended_hours_price,ehp_percentage,datetime
TSLA,61971974,265.665,1694443804,17.17,6.91,,,2023-09-11 14:50:04
TSLA,61972947,265.69,1694443806,17.19,6.92,,,2023-09-11 14:50:06
TSLA,61972997,265.66,1694443807,17.16,6.91,,,2023-09-11 14:50:07
TSLA,61973069,265.69,1694443809,17.19,6.92,,,2023-09-11 14:50:09
TSLA,61975933,265.8,1694443811,17.3,6.96,,,2023-09-11 14:50:11
TSLA,61982001,265.85,1694443813,17.35,6.98,,,2023-09-11 14:50:13
TSLA,61982637,265.89,1694443815,17.39,7.0,,,2023-09-11 14:50:15
TSLA,61992149,265.96,1694443818,17.46,7.03,,,2023-09-11 14:50:18
TSLA,62002396,266.0,1694443820,17.5,7.04,,,2023-09-11 14:50:20
TSLA,62003950,265.95,1694443822,17.45,7.02,,,2023-09-11 14:50:22
TSLA,62004107,265.91,1694443824,17.41,7.01,,,2023-09-11 14:50:24
TSLA,62004213,265.9,1694443825,17.4,7.0,,,2023-09-11 14:50:25
TSLA,62007239,265.98,1694443827,17.48,7.03,,,2023-09-11 14:50:27
TSLA,62011338,265.97,1694443829,17.47,,,,2023-09-11 14:50:29
TSLA,62012045,266.0,1694443831,17.5,7.04,,,2023-09-11 14:50:31
TSLA,62012905,265.99,1694443833,17.49,,,,2023-09-11 14:50:33
TSLA,62022396,,1694443836,,,,,2023-09-11 14:50:36
TSLA,62023492,266.03,1694443838,17.53,7.05,,,2023-09-11 14:50:38
TSLA,62030633,265.79,1694443840,17.29,6.96,,,2023-09-11 14:50:40
TSLA,62031801,265.85,1694443842,17.35,6.98,,,2023-09-11 14:50:42
TSLA,62032465,265.835,1694443844,17.33,,,,2023-09-11 14:50:44
TSLA,62033099,265.96,1694443846,17.46,7.03,,,2023-09-11 14:50:46
TSLA,62035671,265.92,1694443848,17.42,7.01,,,2023-09-11 14:50:48
TSLA,62035771,265.94,1694443849,17.44,7.02,,,2023-09-11 14:50:49
TSLA,62038281,265.85,1694443850,17.35,6.98,,,2023-09-11 14:50:50
