Roi,Fast Period,Slow Period,devfactor
0.07125,141,142,2.0
0.1019999999999999,141,143,2.0
0.0814999999999999,141,144,2.0
0.09425,141,146,2.0
0.09,141,147,2.0
0.1129999999999999,141,148,2.0
0.0761666666666666,141,149,1.5
0.1056666666666666,142,148,2.0
0.0816,141,150,1.5
0.1115,141,150,2.0
0.0712,141,151,1.5
0.111,141,151,2.0
0.0711666666666666,141,153,1.5
0.097,141,153,2.0
0.0775,141,154,1.5
0.0963333333333333,141,154,2.0
0.087,141,155,1.5
0.105,141,155,2.0
0.091,142,157,2.0
0.1034,141,156,2.0
0.113,141,157,2.0
0.0983333333333333,141,158,1.5
0.102,141,159,1.5
0.1068333333333333,141,160,1.5
0.0826666666666666,141,160,2.0
0.07175,141,161,1.5
0.092,142,158,2.0
0.0994,141,164,1.5
0.0923333333333333,141,166,1.5
0.0775999999999999,141,167,1.5
0.0934,141,172,1.5
0.0847499999999999,141,172,2.0
0.0793333333333333,141,176,2.0
0.076,142,163,1.5
0.09075,141,178,1.5
0.0839999999999999,141,178,2.0
0.0854999999999999,142,156,1.5
0.0715,142,165,1.5
0.10125,142,143,2.0
0.0946,142,145,2.0
0.0909999999999999,142,146,2.0
0.094,142,147,2.0
0.0903333333333333,142,149,1.5
0.1125,142,149,2.0
0.0966,142,150,1.5
0.112,142,152,2.0
0.0858,142,151,1.5
0.0969999999999999,142,152,1.5
0.0921666666666666,142,153,1.5
0.0973333333333333,142,153,2.0
0.091,142,154,1.5
0.107,142,154,2.0
0.0726666666666666,142,155,2.0
0.0753333333333333,142,156,2.0
0.1108333333333333,142,157,1.5
0.1248333333333333,142,159,1.5
0.1142,142,160,1.5
0.1186,142,161,1.5
0.0962,142,162,1.5
0.1008,142,164,1.5
0.0802,142,166,1.5
0.0836666666666666,142,167,2.0
0.0754,142,169,1.5
0.0818,142,170,1.5
0.0726,142,171,1.5
0.0751999999999999,142,173,1.5
0.0739999999999999,142,174,1.5
0.0852499999999999,142,176,1.5
0.0745,145,149,1.5
0.07875,142,179,1.5
0.0885,144,148,2.0
0.0785,144,160,2.0
0.0778,143,144,2.0
0.0775999999999999,143,146,2.0
0.09,144,150,2.0
0.0868333333333333,143,147,1.5
0.0803333333333333,143,147,2.0
0.091,145,159,1.5
0.0818,143,148,1.5
0.112,143,149,2.0
0.0804,143,150,1.5
0.1031666666666666,143,151,1.5
0.1135,143,151,2.0
0.104,143,152,2.0
0.0764,143,153,1.5
0.0904999999999999,143,154,1.5
0.102,143,154,2.0
0.0948,143,155,1.5
0.1079999999999999,143,155,2.0
0.0834999999999999,143,156,1.5
0.1043999999999999,143,157,1.5
0.0984999999999999,143,158,1.5
0.0956666666666666,143,158,2.0
0.1131666666666666,143,159,1.5
0.09,143,160,1.5
0.0916,143,161,1.5
0.073,145,171,1.5
0.07425,143,162,1.5
0.0829999999999999,143,164,1.5
0.0757999999999999,143,175,1.5
0.0755999999999999,143,176,1.5
0.07175,143,178,1.5
0.0755,145,176,1.5
0.0923333333333333,143,179,1.5
0.098,144,145,2.0
0.09575,144,147,2.0
0.0851666666666666,144,150,1.5
0.0941666666666666,144,151,1.5
0.0718333333333333,144,152,1.5
0.0806666666666666,145,152,1.5
0.0993333333333333,144,153,2.0
0.1016666666666666,144,154,1.5
0.1003333333333333,144,154,2.0
0.0954,144,155,1.5
0.1025,144,155,2.0
0.094,145,159,2.0
0.10475,144,156,2.0
0.0982,144,157,1.5
0.0924,145,158,1.5
0.0996666666666666,145,153,2.0
0.0921666666666666,144,160,1.5
0.0791666666666666,144,161,1.5
0.0776666666666666,144,166,2.0
0.07275,144,167,1.5
0.0825999999999999,144,173,1.5
0.0808,144,174,1.5
0.0822,144,176,1.5
0.08875,144,177,1.5
0.0826666666666666,144,178,1.5
0.0746,144,179,1.5
0.0873999999999999,145,146,2.0
0.09525,145,152,2.0
0.0959999999999999,145,148,2.0
0.09825,145,149,2.0
0.0808333333333333,145,153,1.5
0.1035,145,154,1.5
0.1009999999999999,145,154,2.0
0.099,145,155,1.5
0.1055,145,155,2.0
0.1014,145,156,1.5
0.1006,145,157,1.5
0.0895,145,157,2.0
0.0732,145,166,1.5
0.0791999999999999,145,167,1.5
0.0788,145,168,1.5
0.0762,145,169,1.5
0.0725,145,177,1.5
0.1066666666666666,146,147,2.0
0.074,149,151,2.0
0.071,149,176,1.5
0.0915,146,149,2.0
0.0771666666666666,146,150,1.5
0.0875,146,150,2.0
0.086,147,176,1.5
0.0845,146,152,1.5
0.0886666666666666,146,152,2.0
0.076,149,178,1.5
0.07525,149,174,1.5
0.0794999999999999,146,164,2.0
0.0755,146,165,2.0
0.0765,147,166,1.5
0.0809999999999999,146,167,1.5
0.0804,146,168,1.5
0.0852,146,169,1.5
0.0785999999999999,146,171,1.5
0.0795999999999999,146,172,1.5
0.0704,146,173,1.5
0.09125,146,176,1.5
0.0836666666666666,147,167,1.5
0.0795,148,175,2.0
0.0733333333333333,146,179,2.0
0.0775,147,148,2.0
0.099,147,150,1.5
0.11275,147,150,2.0
0.07875,147,154,2.0
0.07125,147,162,1.5
0.07575,147,172,1.5
0.0826666666666666,147,165,1.5
0.1061666666666666,147,168,1.5
0.0899999999999999,147,168,2.0
0.0862,147,169,1.5
0.0838,147,170,1.5
0.0798,147,171,1.5
0.0815,147,173,1.5
0.0718,147,174,1.5
0.09025,147,175,1.5
0.0766666666666666,147,177,1.5
0.0816666666666666,148,149,1.5
0.0702,148,151,1.5
0.0705,148,153,2.0
0.08,148,165,1.5
0.0938,148,167,1.5
0.0946,148,168,1.5
0.08475,148,169,1.5
0.084,148,170,1.5
0.07325,148,172,1.5
0.07625,148,173,1.5
0.09375,148,175,1.5
0.0722,149,150,2.0
0.0738333333333333,149,155,1.5
0.0702499999999999,149,155,2.0
